mr,ref
"confirm(name[Diablo II], has_multiplayer[yes])",Are you talking about the Diablo II that has multiplayer?
"confirm(name[Ancient Cities], developer[Uncasual Games], player_perspective[bird view])",Do you mean Ancient Cities from Uncasual Games? The one with a bird view?
"confirm(name[Anthem], developer[BioWare], platforms[PlayStation])",Is that Anthem developed by BioWare that you can play on PlayStation?
"confirm(name[The Elder Scrolls Online], genres[MMORPG], platforms[PC])",Is The Elder Scrolls Online you just mentioned the PC MMORPG?
"confirm(name[Superhot], release_year[2016], platforms[PlayStation])","Would that be Superhot, the 2016 game released on PlayStation?"
"confirm(name[BioShock], platforms[PC], available_on_steam[yes])",Is the BioShock you're talking about the one for the PC that you can get on Steam?
"confirm(name[NBA 2K19], exp_release_date[September 11, 2018])","Are you talking about NBA 2K19 that's coming out September 11, 2018?"
"confirm(name[The Crew 2], exp_release_date[June 29, 2018], genres[driving/racing])","The Crew 2, the driving/racing game expected to be released June 29, 2018?"
"confirm(name[Layers of Fear], player_perspective[first person], platforms[PlayStation])","Layers of Fear, the first person PlayStation game?"
"confirm(name[BioShock], platforms[PC], available_on_steam[yes])","Are you talking about BioShock, the PC game you can buy on Steam?"
"confirm(name[Tomb Raider: The Angel of Darkness], player_perspective[third person], platforms[PC])",Do you mean Tomb Raider: The Angel of Darkness with a third person perspective that you can play on PC?
"confirm(name[Mafia], release_year[2002], developer[Illusion Softworks])","Is that Mafia, the title from Illusion Softworks released in 2002?"
"confirm(name[Ori and the Blind Forest], has_multiplayer[no])",Is it the Ori and the Blind Forest that you're talking about the one that doesn't have any multiplayer?
"confirm(name[Worms: Reloaded], release_year[2010], platforms[PC])",I presume you're talking about the 2010 PC game Worms: Reloaded?
"confirm(name[Grand Theft Auto V], esrb[M (for Mature)])","This is the Grand Theft Auto V that's got an M rating, correct?"
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], player_perspective[bird view], platforms[PC])","Do you mean Heroes of Might and Magic III: The Restoration of Erathia with a bird's eye view, for PC?"
"confirm(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], available_on_steam[yes])",Is the Might & Magic: Heroes VI you just mentioned the one developed by Black Hole Entertainment and available on Steam?
"confirm(name[Tony Hawk's Pro Skater 3], player_perspective[third person], platforms[PC])","By Tony Hawk's Pro Skater 3, do you mean the PC game with the third person perspective?"
"confirm(name[The Crew 2], exp_release_date[June 29, 2018], genres[driving/racing])","Are you referring to The Crew 2, the upcoming driving/racing title releasing June 29, 2018?"
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], esrb[E (for Everyone)], has_mac_release[yes])","The E rated game on Mac, Heroes of Might and Magic III: The Restoration of Erathia?"
"confirm(name[The Crew 2], developer[Ivory Tower], platforms[PlayStation])",By The Crew 2 are you talking about the PlayStation game created by Ivory Tower?
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], esrb[E (for Everyone)], has_mac_release[yes])","By Heroes of Might and Magic III: The Restoration of Erathia, do you mean the E rated game that got a Mac release?"
"confirm(name[Need for Speed: The Run], platforms[Nintendo])",Are you talking about Need for Speed: The Run on Nintendo?
"confirm(name[Shadow of the Tomb Raider], developer[Eidos Montréal], player_perspective[third person])",Are you talking about the Shadow of the Tomb Raider that was created by Eidos Montréal and has a third person perspective?
"confirm(name[Horizon: Zero Dawn], esrb[T (for Teen)])",Are you speaking of the Horizon: Zero Dawn that got the T rating from the ESRB?
"confirm(name[Superhot], release_year[2016], platforms[PlayStation])",Is the Superhot you're referring to the one that came out in 2016 for the PlayStation?
"confirm(name[Diablo II], release_year[2000])","Are you talking about one of my favorite games, Diablo II, that came out in 2000?"
"confirm(name[Superhot], release_year[2016], has_multiplayer[no])",Is the Superhot you're referring to the single-player game that came out in 2016?
"confirm(name[Tony Hawk's Pro Skater 3], platforms[PC], available_on_steam[no])","You mean Tony Hawk's Pro Skater 3, the PC game that isn't available on Steam?"
"confirm(name[Ancient Cities], platforms[PC])","You mean the Ancient Cities that's on the PC, right?"
"confirm(name[Ancient Cities], developer[Uncasual Games], player_perspective[bird view])","Is the Ancient Cities you are talking about the one with the bird view perspective, and developed by Uncasual Games?"
"give_opinion(name[Undertale], developer[tobyfox], rating[excellent])","I love playing games by tobyfox, they're so fun. Take Undertale, for example."
"give_opinion(name[The Elder Scrolls V: Skyrim], rating[good], platforms[PC], available_on_steam[yes])",I had fun playing The Elder Scrolls V: Skyrim. I generally like playing games from Steam on my PC.
"give_opinion(name[Sid Meier's Civilization V], developer[Firaxis Games], rating[good], has_multiplayer[yes])","I like multiplayer games like Sid Meier's Civilization V, and Firaxis Games is one of my favorite developers."
"give_opinion(name[Far Cry 3], rating[good], platforms[PlayStation])","I eventually picked up Far Cry 3 for my PlayStation after hearing of the hype, and thankfully, it's a pretty good game."
"give_opinion(name[Far Cry 3], rating[good], player_perspective[first person])","I liked Far Cry 3, the immersion that you get from the first person experience is unlike any other game."
"give_opinion(name[The Room], release_year[2012], rating[excellent], genres[indie, point-and-click, puzzle])",The Room is a downright amazing indie game. 2012 was a great year for point-and-click puzzle games.
"give_opinion(name[The Last of Us], rating[excellent], player_perspective[third person], platforms[PlayStation])","The Last of Us was a truly excellent game. I loved how the third person perspective enhanced the experience, and it being for the PlayStation was an added bonus."
"give_opinion(name[NBA 2K16], developer[Visual Concepts], rating[good], genres[sport])",I enjoyed NBA 2K16 quite a bit. Visual Concepts usually does well with sports games.
"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], genres[action-adventure, puzzle, shooter])","Lara Croft and the Temple of Osiris was an okay game I guess. I think that I'm just a bit burnt out on action-adventure puzzle shooters, but I don't find them terrible at least."
"give_opinion(name[Ori and the Blind Forest], developer[Moon Studios], rating[excellent], has_multiplayer[no])",Ori and the Blind Forest is a home run for Moon Studios. This gorgeous single-player game is among my favorites now.
"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], genres[action-adventure, puzzle, shooter])","As an action-adventure puzzle shooter, Lara Croft and the Temple of Osiris had a lot going on. It pulled it off but it's not great."
"give_opinion(name[Rocket League], release_year[2015], rating[good], genres[sport, vehicular combat])","I normally find vehicular combat sports games to be so-so at best, but 2015 was a surprisingly strong year for gaming and I actually thought Rocket League had something to it."
