mr,ref
"confirm(name[Superhot], player_perspective[first person], has_multiplayer[no])","Oh, Superhot, the single-player first person game?"
"confirm(name[The Room], genres[indie, point-and-click, puzzle])","Are you talking about the indie point-and-click puzzle game, The Room?"
"confirm(name[Horizon: Zero Dawn], release_year[2017])","Are you talking about Horizon: Zero Dawn, the game that came out in 2017?"
"confirm(name[NBA 2K19], exp_release_date[September 11, 2018])","Hey, is the NBA 2K19 you mentioned the one that's supposed to come out on September 11, 2018?"
"confirm(name[Superhot], player_perspective[first person], has_multiplayer[no])","Is the game you are talking about Superhot, the single-player game played from the first person perspective?"
"confirm(name[FIFA 12], developer[EA Canada], genres[simulation, sport])",Oh! So you're referring to the FIFA 12 sports simulation game from EA Canada?
"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], genres[action-adventure, puzzle, shooter])","Lara Croft and the Temple of Osiris was an okay game I guess. I think that I'm just a bit burnt out on action-adventure puzzle shooters, but I don't find them terrible at least."
"give_opinion(name[Portal 2], rating[excellent], has_multiplayer[yes], platforms[PlayStation])","Listen well, friend, Portal 2 is one of the greatest games of all time. It got a full-fleged release on PlayStation and comes with an amazingly perfect multiplayer mode."
"give_opinion(name[World of Warcraft], rating[good], platforms[PC])","World of Warcraft is a good game, especially because it's on my favorite platform, PC."
"give_opinion(name[Madden NFL 15], developer[EA Tiburon], rating[average])",Madden NFL 15 is an overall average game plopped out by EA Tiburon
"give_opinion(name[Need for Speed: Shift], developer[Slightly Mad Studios], rating[average], genres[driving/racing, simulation])","Need for Speed: Shift was a decent driving simulator. Slightly Mad Studios did decently overall, but nothing amazing came from it."
"give_opinion(name[Little Nightmares], developer[Tarsier Studios], rating[good], genres[adventure, platformer, puzzle])","Little Nightmares was a pretty fun game to play. I tend to like games made by Tarsier Studios, plus adventure puzzle platformers are right up my alley."
"give_opinion(name[The Room], developer[Fireproof Games], rating[excellent], has_linux_release[yes])",The Room is a fantastic game. Props to Fireproof Games for porting it to Linux too.
"give_opinion(name[Quantum Break], release_year[2016], rating[average])","Oh man, Quantum Break could have been so much better for a 2016 game, but instead it ended up being no more than a forgettable one like most of them."
"give_opinion(name[Stronghold 2], rating[average], platforms[PC], has_linux_release[no])","I thought that Stronghold 2 was okay because it was released for PC, but I wish they had released a Linux version."
"give_opinion(name[Metroid Prime Pinball], rating[average], genres[pinball, puzzle], has_multiplayer[yes])","I thought Metroid Prime Pinball was an okay game, but it's not my favorite. I generally enjoy multiplayer games, but it turns out that I'm not a big fan of puzzle pinball games."
"give_opinion(name[NBA 2K16], rating[good], genres[sport], has_multiplayer[yes])","I'm always down for another multiplayer sport game, so I found playing NBA 2K16 to be a pretty fun time."
"inform(name[Metroid Prime Pinball], developer[Fuse Games], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], platforms[Nintendo])","Metroid Prime Pinball by Fuse Games is an E (for Everyone) pinball-puzzle game. It runs on Nintendo, and it has average ratings."
"inform(name[World of Warcraft], esrb[T (for Teen)], rating[good], genres[adventure, MMORPG], platforms[PC], has_linux_release[no], has_mac_release[yes])","You'd like World of Warcraft, it's a good adventure MMORPG rated T (for Teen) on the PC. There's no Linux release, but there is a Mac release."
"inform(name[Tomb Raider: The Last Revelation], release_year[1999], esrb[T (for Teen)], genres[action-adventure, puzzle, shooter], player_perspective[third person], has_multiplayer[no])",Tomb Raider: The Last Revelation is a third person action-adventure puzzle shooter with no multiplayer. It was released in 1999 and is rated T (for Teen).
"inform(name[Transport Tycoon], rating[average], genres[simulation, strategy], player_perspective[bird view], has_multiplayer[no])",Transport Tycoon is an average bird view simulation strategy with no multiplayer.
"inform(name[The Sims], release_year[2000], esrb[T (for Teen)], genres[simulation, strategy], player_perspective[bird view], has_multiplayer[no])","The Sims was released in 2000, with a rating of T (for Teen). It is a simulation, strategy game that is played from a bird view. There is no multiplayer option."
"inform(name[Bus Driver], esrb[E (for Everyone)], rating[poor], genres[driving/racing, indie, simulation], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Bus Driver is a poor indie driving simulation game. The game is rated E (for Everyone) and is for PC only. This game is available on Steam, but not for Mac or Linux."
"inform(name[Mass Effect 2], release_year[2010], rating[excellent], genres[action-adventure, role-playing, shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Mass Effect 2 was a great start to 2010, getting excellent reviews for its smooth mix of shooting, role-playing, action and adventure. It's available on PlayStation, Xbox, and PC (via Steam), though sadly not on Linux or Mac."
"inform(name[BioShock], release_year[2007], developer[2K Boston], genres[action-adventure, role-playing, shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[yes])","BioShock is an action-adventure, role-playing shooter that was developed by 2K Boston. It was released in 2007 for the PlayStation, Xbox, and PC. It is available on Steam and has a Mac release, but it doesn't have a Linux release."
"inform(name[Assetto Corsa], rating[good], genres[driving/racing, simulation, sport], player_perspective[first person, third person], has_multiplayer[yes])",Assetto Corsa is a good sport racing simulation game that offers multiplayer. It can be played in either first person or third person view.
"inform(name[Super Mario World], rating[excellent], genres[platformer], player_perspective[side view], has_multiplayer[yes])",Super Mario World is an excellent side view platformer with a multiplayer mode.
"inform(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person])",Uncharted 4: A Thief's End by Naughty Dog is an excellent third person action-adventure shooter.
"inform(name[Mass Effect 2], release_year[2010], developer[BioWare], esrb[M (for Mature)], genres[action-adventure, role-playing, shooter], player_perspective[third person], platforms[PlayStation, Xbox, PC])","Another action-adventure role-playing shooter game was Mass Effect 2 from BioWare. It was released in 2010 for PlayStation, Xbox and PC. You play the game from the third person perspective, and it is rated M (for Mature)."
"inform(name[StarCraft], release_year[1998], rating[good], genres[real-time strategy], player_perspective[bird view], has_multiplayer[yes])",StarCraft is a pretty good bird view real-time strategy game. It was originally released in 1998 and has multiplayer.
"inform(name[Rocket League], rating[good], genres[sport, vehicular combat], has_multiplayer[yes])",Rocket League is a sports and vehicular combat game with a good rating and multiplayer mode.
"inform(name[Small World 2], rating[poor], genres[indie, trivia/board game], has_multiplayer[yes], platforms[PC], has_linux_release[yes], has_mac_release[yes])","Small World 2 is an indie trivia/board game with multiplayer developed for PC, Linux, and Mac. It received poor reviews."
"inform(name[The Elder Scrolls V: Skyrim], release_year[2011], esrb[M (for Mature)], genres[adventure, role-playing])",The Elder Scrolls V: Skyrim is an adventure RPG that came out in 2011. It's rated M (for Mature).
"inform(name[Warcraft III: Reign of Chaos], genres[real-time strategy], has_multiplayer[yes])",Warcraft III: Reign of Chaos is a real-time strategy game that can be played multiplayer.
"inform(name[NBA 2K16], rating[good], genres[sport])",NBA 2K16 is a good sports game.
"inform(name[Lara Croft and the Temple of Osiris], release_year[2014], esrb[T (for Teen)], rating[average], genres[action-adventure, puzzle, shooter], has_multiplayer[yes])",Lara Croft and the Temple of Osiris is an average multiplayer action-adventure shooter that incorporates puzzle solving. It's a game from 2014 with a T (for Teen) rating.
